Bill Number,Chapter No. (nnnn),XFile Bill Number,Sponsor,Synopsis,Title,Current Status,First Reading Date - House of Origin,Committee Primary - House of Origin,Hearing Date Primary - House of Origin,Hearing Time Primary - House of Origin,Committee Secondary - House of Origin,Hearing Date Secondary - House of Origin,Hearing Time Secondary - House of Origin,Report Date - House of Origin,Report Action - House of Origin,Second Reading Date - House of Origin,Second Reading Action - House of Origin,Third Reading Date - House of Origin,Third Reading Action - House of Origin,First Reading Date - Opposite House,Committee Primary - Opposite House,Hearing Date Primary - Opposite House,Hearing Time Primary - Opposite House,Committee Secondary - Opposite House,Hearing Date Secondary - Opposite House,Hearing Time Secondary - Opposite House,Report Date - Opposite House,Report Action - Opposite House,Second Reading Date - Opposite House,Second Reading Action - Opposite House,Third Reading Date - Opposite House,Third Reading Action - Opposite House,Interaction Between Chambers,Passed by MGA,Emergency Bill,Constitutional Amendment,Broad Subject Name,Broad Subject Code,year_session, status current as of
"HB0001","","SB0064","Chair, Judiciary Committee","Requiring the juvenile court to inquire as to the educational stability of a child at specified hearings and proceedings; and authorizing the juvenile court to consider specified factors in determining the educational stability of a child.","Children in Need of Assistance - Educational Stability","Returned Passed","1/8/2014","Judiciary ","1/14/2014"," 1:00 p.m.","","","","2/10/2014 12:00:00 AM","Favorable","2/11/2014","Passed","2/13/2014","Passed","2/14/2014","Judicial Proceedings ","","","","","","3/28/2014","Favorable","3/21/2014","Passed","3/22/2014","Passed","Returned Passed","Yes","","","Family Law","d4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0002","","SB0322","Delegate Vitale","Requiring that a motor vehicle on an expressway or a controlled access highway be driven in the lane nearest to the right edge or curb of the roadway when that lane is available for travel; and establishing specified exceptions to the requirement relating to overtaking and passing vehicles, left turns or exits, and high occupancy vehicle lanes.","Motor Vehicles - Driving to the Right on Laned Roadways","Hearing 1/28 at 1:00 p.m.","1/8/2014","Environmental Matters ","1/28/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Vehicle Laws - Rules of the Road","r5","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0003","","","Delegate Hubbard","Exempting from specified regulation the distribution of raw milk and raw milk products from milk producers directly to the final consumer if the consumer has acquired a specified ownership interest in specified animals; requiring the consumer and the milk producer to enter into a written contract of agistment relating to a specified ownership interest; establishing that the exemption does not apply to specified sales of milk and milk products; etc.","Health - Milk Products - Raw Milk - Consumer-Owned Livestock","Unfavorable Report by Health and Government Operations; Withdrawn","1/8/2014","Health and Government Operations ","1/28/2014"," 1:00 p.m.","","","","3/24/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","Public Health","j1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0004","","","Delegate Barkley","Expanding the definition of 'AWOL machine' to include a Vaportini or  any similar device, so as to prohibit a Vaportini or any similar device from being used to inhale alcohol vapor or otherwise introduce alcohol in any form into the human body.","Alcoholic Beverages - Vaportinis and Similar Devices - Prohibited","Returned Passed","1/8/2014","Economic Matters ","2/17/2014"," 1:00 p.m.","","","","3/3/2014 12:00:00 AM","Favorable","3/4/2014","Passed","3/6/2014","Passed","3/7/2014","Education, Health, and Environmental Affairs ","3/26/2014"," 1:00 p.m.","","","","3/31/2014","Favorable","3/23/2014","Passed","3/24/2014","Passed","Returned Passed","Yes","","","Alcoholic Beverages - Statewide Bills","a1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0005","","","Chair, Economic Matters Committee","Requiring the State Board of Plumbing to adopt regulations to require under specified circumstances a specified demonstration of professional competency as a condition of renewal of a master plumber or master natural gas fitters license; providing for implementation of the continuing professional competency program on a phased-in basis; and requiring the Board to convene an advisory workgroup prior to proposing regulations.","State Board of Plumbing - Continuing Professional Competency - Master Plumbers and Master Natural Gas Fitters","Unfavorable Report by Economic Matters","1/8/2014","Economic Matters ","1/28/2014"," 1:00 p.m.","","","","2/25/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Business Regulation and Occupations","c2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0006","","","Chair, Economic Matters Committee","Increasing to $7500 the maximum amount of a claim against the Home Improvement Guaranty Fund for which the Maryland Home Improvement Commission may issue a proposed order; and increasing to a maximum of 60 the number of days, following specified notice by the Commission, after which the Commission may bring a specified action in court against a contractor who fails to reimburse the Fund in full for payment of a specified claim.","Maryland Home Improvement Commission - Guaranty Fund - Claims","Returned Passed","1/8/2014","Economic Matters ","1/28/2014"," 1:00 p.m.","","","","2/25/2014 12:00:00 AM","Favorable with Amendments","2/26/2014","Passed with Amendments","2/28/2014","Passed","3/3/2014","Education, Health, and Environmental Affairs ","3/19/2014"," 1:00 p.m.","","","","3/31/2014","Favorable","3/23/2014","Passed","3/24/2014","Passed","Returned Passed","Yes","","","Business Regulation and Occupations","c2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0007","","SB0081","Delegate Beidle","Authorizing the creation of State Debt in the amount of $150,000, the proceeds to be used as a grant to the Board of Directors of the Chesapeake Arts Center, Inc. for the acquisition, planning, design, construction, repair, renovation, reconstruction, and capital equipping of the Chesapeake Arts Center, located in Anne Arundel County; providing for disbursement of the loan proceeds; establishing a deadline for the encumbrance or expenditure of the loan proceeds; etc. ","Creation of a State Debt - Anne Arundel County - Chesapeake Arts Center","Unfavorable Report by Appropriations","1/8/2014","Appropriations ","3/8/2014"," 3:00 p.m.","","","","4/7/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","State Debt (Bond Bills)","b2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0008","","SB0906","Delegate Busch","Authorizing the creation of State Debt not to exceed $250,000, the proceeds to be used as a grant to the Board of Trustees of Historic Annapolis, Inc. for the acquisition, planning, design, construction, repair, renovation, reconstruction, and capital equipping of 1 Martin Street; providing for disbursement of the loan proceeds, subject to a requirement that the grantee provide and expend a matching fund; etc. ","Creation of a State Debt - Anne Arundel County - 1 Martin Street Renovation","Unfavorable Report by Appropriations","1/8/2014","Appropriations ","3/8/2014","10:00 a.m.","","","","4/7/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","State Debt (Bond Bills)","b2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0009","","","Delegate Norman","Requiring the Harford County Liquor Control Board to employ a general manager; repealing a provision of law relating to the appointment and discharge of the general manager; authorizing the Liquor Control Board to alter an employee's position, duties, title, or compensation under specified circumstances; specifying that nothing in any document or statement and nothing implied from any course of conduct limits the right of the Liquor Control Board or an employee to terminate       at-will employment; etc.","Harford County - Alcoholic Beverages - Liquor Control Board - Employment Policies","Hearing 2/17 at 1:00 p.m.","1/8/2014","Economic Matters ","2/17/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Alcoholic Beverages - Local Bills","a2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0010","","","Delegate Beidle","Creating the State Board of Common Ownership Community Managers in the Department of Labor, Licensing, and Regulation; providing for the composition of the Board and the appointment, terms, and expenses of the Board members; providing that the Act does not prohibit specified persons from providing services under specified circumstances; requiring an individual to be issued a license by the Board before providing management services for a common ownership community under specified circumstances; etc.","Real Property - Regulation of Common Ownership Community Managers","Unfavorable Report by Environmental Matters; Withdrawn","1/8/2014","Environmental Matters ","1/30/2014"," 1:00 p.m.","","","","3/10/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","Real Property","n1","2014 Regular Session","4/9/2014 6:00:56 PM"
